DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,Id,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,Year,YearText,WashingtoniansAffectedRange,BreachLifecycleRange,DaysToContainBreach,DaysToIdentifyBreach,DaysBreachLifecycle,DiscoveredInProgress,DaysOfExposure,DaysElapsedBetweenEndAndDiscovery,EndedOnDayDiscovered,DaysElapsedBeforeNotification,DaysOfExposureRange
07/03/2021 12:00:00 AM,10/04/2021 12:00:00 AM,Unauthorized Access,07/01/2021 12:00:00 AM,10/05/2021 12:00:00 AM,Royell Manufacturing,11106,,1145,Business,Other,2022,2022,"1,000-9,999",1-99,94,2,96,true,96,,false,93,1-99
06/14/2021 12:00:00 AM,10/11/2021 12:00:00 AM,Cyberattack,06/14/2021 12:00:00 AM,06/15/2021 12:00:00 AM,University Medical Center of Southern Nevada (UMC),11113,Unclear/unknown,3572,Health,,2022,2022,"1,000-9,999",1-99,1,0,1,true,1,,false,119,1-99
06/25/2020 12:00:00 AM,10/13/2021 12:00:00 AM,Cyberattack,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,American Osteopathic Association,11124,Ransomware,4253,Non-Profit/Charity,,2022,2022,"1,000-9,999",0,0,0,0,true,0,,true,475,0
09/11/2021 12:00:00 AM,10/14/2021 12:00:00 AM,Unauthorized Access,09/11/2021 12:00:00 AM,09/11/2021 12:00:00 AM,The Public School and Education Employees Retirement Systems,11125,,532,Government,,2022,2022,500-999,0,0,0,0,true,0,,true,33,0
11/18/2020 12:00:00 AM,10/14/2021 12:00:00 AM,Cyberattack,07/21/2020 12:00:00 AM,12/19/2020 12:00:00 AM,"Elevated Title, LLC ",11126,Phishing,685,Business,Other,2022,2022,500-999,100-199,31,120,151,true,151,,false,330,100-199
09/08/2021 12:00:00 AM,10/18/2021 12:00:00 AM,Cyberattack,07/01/2021 12:00:00 AM,07/07/2021 12:00:00 AM,World Travel Holdings,11129,Ransomware,1692,Business,Hospitality,2022,2022,"1,000-9,999",1-99,0,69,69,false,6,63,false,40,1-99
07/15/2021 12:00:00 AM,10/20/2021 12:00:00 AM,Cyberattack,07/15/2021 12:00:00 AM,,Buddhist Tzu Chi Foundation,11130,Ransomware,582,Non-Profit/Charity,,2022,2022,500-999,Unknown,,0,,false,,,false,97,Unknown
08/05/2021 12:00:00 AM,10/21/2021 12:00:00 AM,Cyberattack,08/02/2021 12:00:00 AM,08/05/2021 12:00:00 AM,"Wallick & Volk, Inc.",11131,Malware,1625,Finance,,2022,2022,"1,000-9,999",1-99,0,3,3,true,3,,true,77,1-99
05/21/2021 12:00:00 AM,10/29/2021 12:00:00 AM,Cyberattack,05/21/2021 12:00:00 AM,05/21/2021 12:00:00 AM,"Goldwater Bank, N.A.",11192,Ransomware,762,Finance,,2022,2022,500-999,0,0,0,0,true,0,,true,161,0
03/16/2021 12:00:00 AM,10/21/2021 12:00:00 AM,Unauthorized Access,02/03/2021 12:00:00 AM,03/16/2021 12:00:00 AM,"SCUF Gaming International, LLC",11207,,691,Business,Manufacturing,2022,2022,500-999,1-99,0,41,41,true,41,,true,219,1-99
06/24/2021 12:00:00 AM,11/15/2021 12:00:00 AM,Cyberattack,,,Sea Mar Community Health Centers,11218,,628569,Health,,2022,2022,"50,000-999,999",Unknown,,,,false,,,false,144,Unknown
06/03/2021 12:00:00 AM,10/28/2021 12:00:00 AM,Cyberattack,06/03/2021 12:00:00 AM,06/03/2021 12:00:00 AM,"Terrier Media Buyer, Inc. dba Cox Media Group",11225,Ransomware,649,Business,Telecommunications,2022,2022,500-999,0,0,0,0,true,0,,true,147,0
09/01/2021 12:00:00 AM,11/08/2021 12:00:00 AM,Unauthorized Access,,09/12/2021 12:00:00 AM,"Insureon Holdings, LLC",11226,,671,Finance,,2022,2022,500-999,Unknown,11,,,true,,,false,68,Unknown
